query,category
My invoice shows a charge for a feature I never used.  Can I get a refund?,Billing Issue
I was overcharged for this month's subscription; the amount is incorrect.,Billing Issue
"The payment went through, but my access is still suspended.  What gives?",Billing Issue
There's a discrepancy between my invoice and the amount charged to my card.,Billing Issue
"I'm being charged a monthly fee, but I cancelled my subscription weeks ago.",Billing Issue
My billing cycle seems to be off; I've been billed twice this month.,Billing Issue
I received an invoice for a service I didn't request. Please clarify.,Billing Issue
"The payment gateway failed, yet I'm still being charged.  This is frustrating.",Billing Issue
I need a refund for the duplicate payment I accidentally made.,Billing Issue
The invoice details are unclear; I can't understand what I'm being charged for.,Billing Issue
I'm being overcharged compared to the advertised price.  I need a resolution.,Billing Issue
My credit card was charged an unexpected fee.  What is this for?,Billing Issue
"I cancelled my subscription, but I'm still receiving invoices.",Billing Issue
I've been charged for a past billing cycle that I've already paid for.,Billing Issue
This is the second time I've had a billing error this month.,Billing Issue
I requested a refund last week and haven't received a response.,Billing Issue
I was charged a higher fee than was stated during my trial period.,Billing Issue
"The system shows my payment as pending, but my bank confirms it went through.",Billing Issue
I need an itemized invoice that clearly explains all charges.,Billing Issue
"My invoice shows a late fee, even though my payment was on time.",Billing Issue
There's a significant discrepancy in the total amount on my invoice.,Billing Issue
"The billing cycle changed without notification, leading to confusion.",Billing Issue
I think there's a glitch in the billing system; my charges are all wrong.,Billing Issue
I was double-charged for the same service.  Please rectify this immediately.,Billing Issue
I need a copy of my receipt showing my payment for this month.,Billing Issue
My account was unexpectedly suspended due to an unpaid invoice.,Billing Issue
The invoice date is incorrect; it shows a payment due date in the past.,Billing Issue
I'm being charged for users that were removed from the account.,Billing Issue
Can I get clarification on the various fees outlined in my invoice?,Billing Issue
My bank statement shows a different amount than my invoice.,Billing Issue
I'm being charged for a higher tier of service than I subscribed to.,Billing Issue
I paid my invoice but it's still showing as unpaid on your system.,Billing Issue
I'm unsure why I'm receiving this invoice; I've never used your service.,Billing Issue
My billing address is incorrect on the invoice. Please update it.,Billing Issue
There's a significant difference between my invoice and my bank statement.,Billing Issue
"I have proof of payment, but your system doesn't show it.",Billing Issue
I contacted customer support last week about billing issues; no response yet.,Billing Issue
"The software stopped working due to a payment issue, even though I paid.",Billing Issue
The currency displayed on my invoice is incorrect.,Billing Issue
I request a detailed breakdown of the charges on my latest invoice.,Billing Issue
I was charged a setup fee that wasn't disclosed during the signup process.,Billing Issue
"My payment method was updated, but the system is still using the old one.",Billing Issue
Why am I being charged for something I specifically opted out of?,Billing Issue
I accidentally selected the wrong billing cycle. Can I adjust this?,Billing Issue
This month's invoice is much higher than previous months.  Why?,Billing Issue
I require an immediate refund for the excessive charges applied.,Billing Issue
I have proof of payment but the system shows a payment failure.,Billing Issue
My payment is clearly visible on my bank statement.  Why is it not recorded?,Billing Issue
The software is still charging me after I deleted my account.,Billing Issue
"My invoice is missing some key details, making it difficult to reconcile.",Billing Issue
I'm experiencing recurring billing issues that need urgent attention.,Billing Issue
This is unacceptable; I expect a prompt resolution to this billing error.,Billing Issue
"I haven't received an invoice yet, though my card has been charged.",Billing Issue
The automated payment failed.  Please clarify the next steps.,Billing Issue
I have a screen recording showing the payment confirmation.,Billing Issue
"My payment was declined, but I never received a notification.",Billing Issue
I need to change my billing information; how can I do this securely?,Billing Issue
There's a missing payment showing on my account summary.,Billing Issue
The invoice total doesn't match the breakdown of charges.,Billing Issue
I've been charged for inactive users; this should be corrected.,Billing Issue
I request a full refund for the entire billing cycle.,Billing Issue
Can you please send me a corrected invoice?,Billing Issue
My subscription should have automatically renewed at a lower price.,Billing Issue
The prorated amount on my invoice is incorrect.,Billing Issue
"I paid through PayPal, but the transaction doesn't show on your system.",Billing Issue
I need to update my credit card information before the next billing cycle.,Billing Issue
"My account was billed twice this month, for the same services.",Billing Issue
Please investigate this billing discrepancy; I'm very concerned.,Billing Issue
I'm being charged for a trial period after cancelling my trial.,Billing Issue
I'm being charged for a service I never agreed to.  This is fraud.,Billing Issue
My billing information is incorrect on file. Please fix this.,Billing Issue
"I've tried paying my invoice multiple times, but it keeps failing.",Billing Issue
I need a written confirmation of my refund request.,Billing Issue
The website shows an incorrect billing status for my account.,Billing Issue
Why am I being charged additional tax? I'm exempt.,Billing Issue
I would like to see a history of all my past invoices.,Billing Issue
I'm concerned about the security of my payment information.,Billing Issue
I canceled my account but am still receiving charges.,Billing Issue
This invoice does not reflect my current subscription level.,Billing Issue
My automatic payment failed; please resend the payment request.,Billing Issue
There's an unexpected charge on my statement; I need to understand why.,Billing Issue
"I requested a prorated refund, but received a full refund instead.",Billing Issue
I'm not sure which invoice this payment refers to.,Billing Issue
"My bank rejected the payment, but I haven't been notified.",Billing Issue
"My subscription is overdue, but I already paid the invoice.",Billing Issue
I'm unable to access the billing portal to view my invoices.,Billing Issue
The system is showing an incorrect balance on my account.,Billing Issue
I need help understanding the charges on my recent invoice.,Billing Issue
I paid via wire transfer; can you confirm receipt of the funds?,Billing Issue
My invoice shows a payment due date that's in the past.,Billing Issue
My credit card expiry date has changed; please update your records.,Billing Issue
"I cancelled my subscription over the phone, but the billing continues.",Billing Issue
The system is showing a different payment method than the one I use.,Billing Issue
I need confirmation that my refund has been processed.,Billing Issue
The billing details on my invoice are incomplete and inaccurate.,Billing Issue
I'm being charged for more users than are actually on my plan.,Billing Issue
I have questions about my invoice; can someone call me?,Billing Issue
I've been overcharged for several months; I need a credit.,Billing Issue
