query,category,query_clean,category_encoded
My invoice shows a charge for a feature I never used.  Can I get a refund?,Billing Issue,my invoice shows a charge for a feature i never used. can i get a refund?,0
I was overcharged for this month's subscription; the amount is incorrect.,Billing Issue,i was overcharged for this months subscription the amount is incorrect.,0
"The payment went through, but my access is still suspended.  What gives?",Billing Issue,the payment went through but my access is still suspended. what gives?,0
There's a discrepancy between my invoice and the amount charged to my card.,Billing Issue,theres a discrepancy between my invoice and the amount charged to my card.,0
"I'm being charged a monthly fee, but I cancelled my subscription weeks ago.",Billing Issue,im being charged a monthly fee but i cancelled my subscription weeks ago.,0
My billing cycle seems to be off; I've been billed twice this month.,Billing Issue,my billing cycle seems to be off ive been billed twice this month.,0
I received an invoice for a service I didn't request. Please clarify.,Billing Issue,i received an invoice for a service i didnt request. please clarify.,0
"The payment gateway failed, yet I'm still being charged.  This is frustrating.",Billing Issue,the payment gateway failed yet im still being charged. this is frustrating.,0
I need a refund for the duplicate payment I accidentally made.,Billing Issue,i need a refund for the duplicate payment i accidentally made.,0
The invoice details are unclear; I can't understand what I'm being charged for.,Billing Issue,the invoice details are unclear i cant understand what im being charged for.,0
I'm being overcharged compared to the advertised price.  I need a resolution.,Billing Issue,im being overcharged compared to the advertised price. i need a resolution.,0
My credit card was charged an unexpected fee.  What is this for?,Billing Issue,my credit card was charged an unexpected fee. what is this for?,0
"I cancelled my subscription, but I'm still receiving invoices.",Billing Issue,i cancelled my subscription but im still receiving invoices.,0
I've been charged for a past billing cycle that I've already paid for.,Billing Issue,ive been charged for a past billing cycle that ive already paid for.,0
This is the second time I've had a billing error this month.,Billing Issue,this is the second time ive had a billing error this month.,0
I requested a refund last week and haven't received a response.,Billing Issue,i requested a refund last week and havent received a response.,0
I was charged a higher fee than was stated during my trial period.,Billing Issue,i was charged a higher fee than was stated during my trial period.,0
"The system shows my payment as pending, but my bank confirms it went through.",Billing Issue,the system shows my payment as pending but my bank confirms it went through.,0
I need an itemized invoice that clearly explains all charges.,Billing Issue,i need an itemized invoice that clearly explains all charges.,0
"My invoice shows a late fee, even though my payment was on time.",Billing Issue,my invoice shows a late fee even though my payment was on time.,0
There's a significant discrepancy in the total amount on my invoice.,Billing Issue,theres a significant discrepancy in the total amount on my invoice.,0
"The billing cycle changed without notification, leading to confusion.",Billing Issue,the billing cycle changed without notification leading to confusion.,0
I think there's a glitch in the billing system; my charges are all wrong.,Billing Issue,i think theres a glitch in the billing system my charges are all wrong.,0
I was double-charged for the same service.  Please rectify this immediately.,Billing Issue,i was doublecharged for the same service. please rectify this immediately.,0
I need a copy of my receipt showing my payment for this month.,Billing Issue,i need a copy of my receipt showing my payment for this month.,0
My account was unexpectedly suspended due to an unpaid invoice.,Billing Issue,my account was unexpectedly suspended due to an unpaid invoice.,0
The invoice date is incorrect; it shows a payment due date in the past.,Billing Issue,the invoice date is incorrect it shows a payment due date in the past.,0
I'm being charged for users that were removed from the account.,Billing Issue,im being charged for users that were removed from the account.,0
